#step	total	overlap	contact	SC-SC	stiff
0	-664.0	0.0	0.0	-664.0	0.0
0	-664.0	0.0	0.0	-664.0	0.0
2500000	-648.0	0.0	0.0	-648.0	0.0
5000000	-622.0	0.0	0.0	-622.0	0.0
7500000	-662.0	0.0	0.0	-662.0	0.0
10000000	-630.0	0.0	0.0	-630.0	0.0
12500000	-636.0	0.0	0.0	-636.0	0.0
15000000	-672.0	0.0	0.0	-672.0	0.0
17500000	-630.0	0.0	0.0	-630.0	0.0
20000000	-624.0	0.0	0.0	-624.0	0.0
22500000	-658.0	0.0	0.0	-658.0	0.0
25000000	-654.0	0.0	0.0	-654.0	0.0
27500000	-616.0	0.0	0.0	-616.0	0.0
30000000	-668.0	0.0	0.0	-668.0	0.0
32500000	-666.0	0.0	0.0	-666.0	0.0
35000000	-666.0	0.0	0.0	-666.0	0.0
37500000	-644.0	0.0	0.0	-644.0	0.0
40000000	-658.0	0.0	0.0	-658.0	0.0
42500000	-658.0	0.0	0.0	-658.0	0.0
45000000	-636.0	0.0	0.0	-636.0	0.0
47500000	-648.0	0.0	0.0	-648.0	0.0
50000000	-634.0	0.0	0.0	-634.0	0.0
52500000	-670.0	0.0	0.0	-670.0	0.0
55000000	-618.0	0.0	0.0	-618.0	0.0
57500000	-652.0	0.0	0.0	-652.0	0.0
60000000	-664.0	0.0	0.0	-664.0	0.0
62500000	-614.0	0.0	0.0	-614.0	0.0
65000000	-646.0	0.0	0.0	-646.0	0.0
67500000	-636.0	0.0	0.0	-636.0	0.0
70000000	-646.0	0.0	0.0	-646.0	0.0
72500000	-662.0	0.0	0.0	-662.0	0.0
75000000	-640.0	0.0	0.0	-640.0	0.0
77500000	-658.0	0.0	0.0	-658.0	0.0
80000000	-662.0	0.0	0.0	-662.0	0.0
82500000	-670.0	0.0	0.0	-670.0	0.0
85000000	-656.0	0.0	0.0	-656.0	0.0
87500000	-646.0	0.0	0.0	-646.0	0.0
90000000	-648.0	0.0	0.0	-648.0	0.0
92500000	-638.0	0.0	0.0	-638.0	0.0
95000000	-650.0	0.0	0.0	-650.0	0.0
97500000	-658.0	0.0	0.0	-658.0	0.0
100000000	-626.0	0.0	0.0	-626.0	0.0
102500000	-642.0	0.0	0.0	-642.0	0.0
105000000	-634.0	0.0	0.0	-634.0	0.0
107500000	-652.0	0.0	0.0	-652.0	0.0
110000000	-670.0	0.0	0.0	-670.0	0.0
112500000	-654.0	0.0	0.0	-654.0	0.0
115000000	-666.0	0.0	0.0	-666.0	0.0
117500000	-636.0	0.0	0.0	-636.0	0.0
120000000	-634.0	0.0	0.0	-634.0	0.0
122500000	-646.0	0.0	0.0	-646.0	0.0
125000000	-662.0	0.0	0.0	-662.0	0.0
127500000	-666.0	0.0	0.0	-666.0	0.0
130000000	-666.0	0.0	0.0	-666.0	0.0
132500000	-652.0	0.0	0.0	-652.0	0.0
135000000	-658.0	0.0	0.0	-658.0	0.0
137500000	-670.0	0.0	0.0	-670.0	0.0
140000000	-656.0	0.0	0.0	-656.0	0.0
142500000	-616.0	0.0	0.0	-616.0	0.0
145000000	-622.0	0.0	0.0	-622.0	0.0
147500000	-656.0	0.0	0.0	-656.0	0.0
150000000	-662.0	0.0	0.0	-662.0	0.0
152500000	-646.0	0.0	0.0	-646.0	0.0
155000000	-636.0	0.0	0.0	-636.0	0.0
157500000	-660.0	0.0	0.0	-660.0	0.0
160000000	-656.0	0.0	0.0	-656.0	0.0
162500000	-626.0	0.0	0.0	-626.0	0.0
165000000	-644.0	0.0	0.0	-644.0	0.0
167500000	-634.0	0.0	0.0	-634.0	0.0
170000000	-626.0	0.0	0.0	-626.0	0.0
172500000	-648.0	0.0	0.0	-648.0	0.0
175000000	-646.0	0.0	0.0	-646.0	0.0
177500000	-670.0	0.0	0.0	-670.0	0.0
180000000	-650.0	0.0	0.0	-650.0	0.0
182500000	-676.0	0.0	0.0	-676.0	0.0
185000000	-660.0	0.0	0.0	-660.0	0.0
187500000	-640.0	0.0	0.0	-640.0	0.0
190000000	-640.0	0.0	0.0	-640.0	0.0
192500000	-662.0	0.0	0.0	-662.0	0.0
195000000	-656.0	0.0	0.0	-656.0	0.0
197500000	-658.0	0.0	0.0	-658.0	0.0
200000000	-650.0	0.0	0.0	-650.0	0.0
